"","period","coherence_z","coherence_pvalue","turnover","boundary_clump"
"1",1,-0.624273392457537,0.532448054826211,2.69025172796208,1.65448504983389
"2",2,-0.539999682083309,0.589197251678211,1.14747405131075,1.421926910299
"3",3,-0.387662370954598,0.698265905887082,1.12327249313779,1.58704453441296
"4",4,0.498970041328486,0.617800489566309,3.73007860184305,3.59280303030303
"5",5,1.56449147261921,0.117702194015029,0.968164894259468,1.64307692307692
"6",6,0.0767822978745628,0.938796733409463,0.865573653189014,1.23684210526316
"7",7,0.427200800230268,0.669233078524565,1.05578157099234,1.17647058823529
"8",8,1.04554726282751,0.295770108671494,2.52528877545613,1.91397849462366
"9",9,2.01636595040611,0.0437617232644124,2.41171323930404,2.46551724137931
"10",10,-0.269168011928198,0.78780039491876,1.65604503828387,2.11822660098522
"11",11,0.469093687730536,0.639002670796472,2.22156814081014,1.64705882352941
"12",12,0.972173276303876,0.330964352894246,1.12512696098895,1.38947368421053
"13",13,-0.408411760078035,0.68297140103047,1.29285202602471,2.30526315789474
"14",14,2.30979943785491,0.0208992604453736,0.667692001378139,2.18412698412698
"15",15,-0.100183129199496,0.920198939573464,0.794903772685649,2.05333333333333
"16",16,0.470909729787128,0.637705199548824,0.896357825226197,1.66532258064516
"17",17,0.103631491681778,0.917461795459605,1.22118361211897,1.41609195402299
"18",18,0.952320627814846,0.34093439947109,0.870543548448672,1.6871921182266
"19",19,0.0241515154701697,0.980731751885611,1.38950370696058,1.97894736842105
"20",20,-1.26378595089803,0.206306865109044,1.36105183375009,1.60483870967742
"21",21,NA,NA,2.08102295543293,1.44565217391304
"22",22,0.828378414638233,0.407456226984364,0.715910014431067,1.86324786324786
"23",23,1.17824271632909,0.238699857512305,1.25748141320963,1.70634920634921
"24",24,2.16839937843461,0.030128312958064,1.17113287336764,2.20161290322581
"25",25,1.10458615526816,0.269338952837461,0.434591521836696,2.41379310344828
"26",26,-0.466893076775225,0.640576378792461,2.07575201904751,2.11462450592885
"27",27,0.349709991114482,0.726556354761583,0.4530801435628,1.25042016806723
"28",28,2.48406886125897,0.0129890687775384,0.278955748818145,1.4984126984127
"29",29,0.107683515873466,0.914246745897406,-0.822293907220292,1.41871921182266
"30",30,1.63097563675538,0.102895460386862,0.175038696690197,1.06842105263158
"31",31,2.04704787324227,0.0406533843106904,-1.9601364397175,1.38502673796791
"32",32,1.7304368878456,0.0835522480456473,0.329862790834401,1.35772357723577
"33",33,-0.306934184737235,0.758893468463632,0.817253750899968,2.62121212121212
"34",34,-0.0303111961628173,0.975818867429846,0.764819043278041,1.69354838709677
"35",35,1.56288007322356,0.118080805462934,0.891229510368934,1.73440285204991
"36",36,-1.82120565837398,0.0685756006804877,1.10171387113702,1.23529411764706
"37",37,1.110172129354,0.266924860222922,0.24987694130345,2.06769230769231
"38",38,1.73358762246355,0.0829912781931385,0.939439246601477,1.73588709677419
"39",39,-0.417712352926949,0.676157439509544,1.17443342442867,1.89579831932773
"40",40,1.47960036066369,0.138979930203191,0.225667884935406,1.12258064516129
"41",41,0.624330887046927,0.532410303412955,-1.20305621838158,1.66233766233766
"42",42,0.333572890771669,0.738701877665531,1.01836869091418,1.59714795008913
"43",43,0.548546986883811,0.583316375392398,-1.04583648382411,1.77204301075269
"44",44,-0.622337096169955,0.533720233416567,1.87762474557678,1.67179487179487
"45",45,1.06708769132037,0.28593223945877,1.25723632996886,2.21707317073171
"46",46,-0.131931905424554,0.895038152320142,-0.167434963376227,1.41
"47",47,0.968184160391908,0.332952404101411,1.16532973024518,1.03896103896104
"48",48,-1.09481884537197,0.27359600853176,-0.960710724653924,1.02857142857143
"49",49,NA,NA,0.672083315088912,1.20197044334975
"50",50,1.36273040981852,0.172967490177739,-0.523697670817021,1.27016129032258
"51",51,1.48013922068187,0.138836096586237,-0.253797879539379,1.37142857142857
"52",52,-1.74258909989213,0.0814054153857014,-0.0144640711107702,1.82153846153846
"53",53,0.761170479967332,0.446555247806349,-0.286704989001165,1.84
"54",54,0.6635689872332,0.506966211898809,-2.72013703373425,1.24242424242424
"55",55,2.38770125642353,0.0169541171079414,-0.232256287239532,1.18758434547908
"56",56,1.68128231103819,0.092708092085666,-3.10915240374354,1.41176470588235
"57",57,1.55239010197826,0.120568910358803,-2.38794206633258,1.58620689655172
"58",58,-2.27931509960343,0.0226483410805137,1.15538009646743,1.9
"59",59,2.3450890041639,0.0190225380192058,-2.15464367624719,1.53846153846154
"60",60,0.968877289503034,0.332606417845001,-2.28111554823077,1.68387096774194
"61",61,1.1301872513525,0.258397330518508,-1.15251391446171,3.06
"62",62,2.70334407288439,0.00686456470495562,-0.73782508745253,1.08064516129032
"63",63,1.20124553287823,0.229655971657504,-1.37480237639001,1.5
"64",64,1.02296841937281,0.306322777779548,-0.463300400419803,1.2952380952381
"65",65,1.17239743370337,0.241037529362084,0.615168488451003,2.54358974358974
"66",66,0.836225053690705,0.403028306467092,0.863798717437612,1.76551724137931
"67",67,1.21020344771896,0.226200835474982,-0.421761723124017,2.04836415362731
"68",68,1.09700658711464,0.27263851260243,-0.350018473055083,1.42769230769231
"69",69,1.70751709543614,0.0877259830530897,0.0345905707807984,2.17241379310345
"70",70,-1.77066956872888,0.0766156657782208,-1.14117172255426,2.71596638655462
"71",71,2.1310983427989,0.0330810412221847,-0.201011809383503,1.69230769230769
"72",72,2.80384982949863,0.00504964184095212,-0.860391592863265,1.55172413793103
"73",73,1.4129850072629,0.15766013245138,1.00377125968335,1.52857142857143
"74",74,1.57392499011448,0.115504791755703,-0.26012084536565,2.28571428571429
