"","year","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"18",1994,4.60684673217214,4.08821103998292e-06,1.60859273619014,0.107705423593452,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
"19",1995,4.56437257102679,5.00990391649385e-06,1.63353500595074,0.102356524571106,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
"20",1996,4.39741459094294,1.09547970279034e-05,1.65745686281182,0.0974271432779086,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
"21",1997,4.60642878528774,4.0964326224688e-06,1.64805812598546,0.0993407439829742,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
"22",1998,4.67908539620921,2.88157415970819e-06,1.62578963391282,0.103994414289694,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
"23",1999,5.29747995408688,1.17411790135728e-07,1.67999136482387,0.0929589958386868,4.61029411764706,4.66997351900034e-09,"Checkerboard (negative coherence)"
"24",2000,5.53661887026371,3.08366576529892e-08,1.59769322484283,0.110111267331808,4.61029411764706,4.66997351900034e-09,"Checkerboard (negative coherence)"
"25",2001,5.63444765719947,1.75620289621509e-08,1.65540974929832,0.0978414097175556,4.61029411764706,4.66997351900034e-09,"Checkerboard (negative coherence)"
"26",2002,5.45774479205679,4.82220081878106e-08,1.64581075080191,0.0998027281937376,4.61029411764706,4.66997351900034e-09,"Checkerboard (negative coherence)"
"27",2003,4.98359997589868,6.24120424785773e-07,1.63962039421594,0.101084119986214,5.2156862745098,1.65720770439748e-11,"Checkerboard (negative coherence)"
"28",2004,5.96087124884113,2.50896597034371e-09,1.69354821671744,0.0903511651860974,5.83660130718954,2.01727523574391e-13,"Checkerboard (negative coherence)"
"29",2005,5.61768204125611,1.93536224674303e-08,1.67227353414578,0.0944703959817714,5.83660130718954,2.01727523574391e-13,"Checkerboard (negative coherence)"
"30",2006,5.33070581941713,9.78317861883695e-08,1.73369069813893,0.082972977851837,5.09150326797386,3.95514732076663e-11,"Checkerboard (negative coherence)"
"31",2007,4.76488050495611,1.88965602775844e-06,1.61428249472505,0.106466165340662,8.0718954248366,0,"Checkerboard (negative coherence)"
"32",2008,4.58937389017375,4.44577490589675e-06,1.61399478296982,0.106528557898899,8.0718954248366,0,"Checkerboard (negative coherence)"
"33",2009,4.69285689122967,2.69415962735854e-06,1.58516867663355,0.112928015265233,8.0718954248366,0,"Checkerboard (negative coherence)"
"34",2010,4.66786865504957,3.04340346573572e-06,1.56802530926208,0.116875225885137,8.0718954248366,0,"Checkerboard (negative coherence)"
"35",2011,6.01755014128037,1.77076474385791e-09,1.57702949999876,0.11478873738389,4.59477124183007,1.22540577685015e-09,"Checkerboard (negative coherence)"
"36",2012,6.37473504934328,1.83279523521933e-10,1.64942329973542,0.0990609446157976,4.59477124183007,1.22540577685015e-09,"Checkerboard (negative coherence)"
"37",2013,5.46888186034549,4.52883473728641e-08,1.67087106046314,0.0947471487832887,7.57516339869281,0,"Checkerboard (negative coherence)"
"38",2014,6.41075578871264,1.44799986496364e-10,1.64387201365335,0.100202642149692,4.22222222222222,1.52266012021229e-08,"Checkerboard (negative coherence)"
"39",2015,6.06428404127394,1.325427377526e-09,1.53202510202799,0.125516240476841,5.96078431372549,8.26005930321116e-14,"Checkerboard (negative coherence)"
"40",2016,5.99264898123765,2.06450155291589e-09,1.60446666923956,0.108611225690226,5.96078431372549,8.26005930321116e-14,"Checkerboard (negative coherence)"
