"","year","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"1",1977,4.79429972594886,1.63244054071851e-06,1.55643133127845,0.119605559697338,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"2",1978,5.1667188001224,2.38239275282887e-07,1.62966331330797,0.103172675126765,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"3",1979,5.11248609552531,3.17946396278706e-07,1.59238729177353,0.111297709895302,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"4",1980,5.02255537776075,5.09884888375172e-07,1.69906945961431,0.0893060969382279,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"5",1981,5.08939182911522,3.59213693936002e-07,1.59778020173636,0.110091902282928,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"6",1982,4.82833746667254,1.37677637537668e-06,1.59484650404771,0.110746564863258,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"7",1983,4.91214467486411,9.00855401223759e-07,1.65463579548876,0.097998397925897,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"8",1984,4.84646430359276,1.25681188980527e-06,1.63286647260486,0.102497082910272,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"9",1985,4.82934492778379,1.36982944485844e-06,1.65005570996089,0.0989315422410834,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"10",1986,4.80313391922802,1.56201337582773e-06,1.58972075499855,0.111897763186437,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"11",1987,4.94726325549536,7.52641568146448e-07,1.71034701462623,0.0872017227412362,5.06666666666667,1.28135135835095e-09,"Checkerboard (negative coherence)"
"12",1988,4.0385452172922,5.37837265902637e-05,1.67673501799843,0.0935943097271397,5.85833333333333,1.00535135771906e-11,"Checkerboard (negative coherence)"
"13",1989,3.54473151105744,0.000393013195164848,1.65993263057146,0.096928006183615,6.49166666666667,1.89070981093664e-13,"Checkerboard (negative coherence)"
"14",1990,3.62377682383922,0.000290332149474279,1.63796891212383,0.101428179030376,6.49166666666667,1.89070981093664e-13,"Checkerboard (negative coherence)"
"15",1991,4.6018062670598,4.188427023606e-06,1.68484689390044,0.092018114780206,5.38333333333333,1.87625248670997e-10,"Checkerboard (negative coherence)"
"16",1992,2.68666285527646,0.00721697570082867,1.64686659092608,0.0995854702621633,10.2916666666667,0,"Checkerboard (negative coherence)"
"17",1993,5.02006838100571,5.16530885986653e-07,1.74949119210049,0.0802061499860863,4.59166666666667,2.17114529688089e-08,"Checkerboard (negative coherence)"
