"","season_yr","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"1","1977_summer",0.380761384194397,0.703380315564352,1.40196255742627,0.160926427978962,2.69005847953216,6.10781519694292e-07,"Random"
"2","1977_fall",1.2925031005484,0.196182972878463,1.77545292264215,0.0758231322311397,2.06315789473684,0.000306752298128043,"Random"
"3","1977_winter",0,0,0,0,0,0,NA
"4","1978_spring",-1.13249916673838,0.257424634503829,1.02363562909473,0.306007409986721,2.32727272727273,0.0050097630552467,"Random"
"5","1978_summer",1.95028915770261,0.0511416642218863,0.774464421585848,0.438656200010373,1.51633986928105,0.0272259980419661,"Random"
"6","1978_fall",0.294723742840752,0.768204924215396,1.13550844800988,0.25616234428166,1.86666666666667,0.00556968307294559,"Random"
"7","1978_winter",0,0,0,0,0,0,NA
"8","1979_spring",0,0,0,0,0,0,NA
"9","1979_summer",0.344575537544799,0.730413498929097,0.38074253036089,0.703394306908779,0.848484848484849,0.368335262984764,"Random"
"10","1979_fall",2.29454544669133,0.0217591877207582,-2.34651673958316,0.0189498149744877,1.4,0.0721083910339213,"Checkerboard (negative coherence)"
"11","1979_winter",0.290209123228134,0.771656257090878,0.73256365047537,0.463824608025186,2.15032679738562,0.000269334391614362,"Random"
"12","1980_spring",1.99104556089987,0.0464758785669861,-0.17747742667555,0.859133394670467,1.0233918128655,0.377711210933933,"Checkerboard (negative coherence)"
"13","1980_summer",-1.33545736135132,0.181726701630315,1.60118048894621,0.109336948984435,1.06666666666667,0.327056556973428,"Random"
"14","1980_fall",-0.64174449140094,0.521039096193324,-0.511554936787433,0.608962530605172,2,0.00416363303750333,"Random"
"15","1980_winter",1.66927294157427,0.0950633001525533,0.995635383106328,0.319427336385705,1.6,0.0251163607468528,"Random"
"16","1981_spring",-1.22730956083804,0.219706263491245,1.37827555527709,0.168118227449815,1.98095238095238,0.00418554358721213,"Random"
"17","1981_summer",0.370678393483768,0.710877085165629,-0.150571268860141,0.88031392707868,1.84615384615385,0.0119700023540296,"Random"
"18","1981_fall",-0.168968412119232,0.86582148758719,1.27047422088154,0.203915759893877,1.86666666666667,0.00556968307294559,"Random"
"19","1981_winter",-0.767863180137984,0.442568474192109,-0.531945270406193,0.594763901745826,1.35947712418301,0.0694470237837276,"Random"
"20","1982_spring",-0.0576385621901963,0.95403653253095,-0.369158458610337,0.712009617614985,1.97802197802198,0.00982995686685773,"Random"
"21","1982_summer",1.37201716876977,0.170058093158684,0.354950689100586,0.722626533266781,1.32631578947368,0.0766991408345414,"Random"
"22","1982_fall",1.36114783266686,0.173466976171629,-0.248298161072842,0.803903721716939,1.20879120879121,0.22989991042466,"Random"
"23","1982_winter",-1.43395855560275,0.151584090181532,-1.18540673391469,0.235856670546244,3.63636363636364,2.26497618204258e-05,"Random"
"24","1983_spring",0.350604257699365,0.725885261889182,1.16178016893082,0.245324771385687,2.16450216450216,0.000111273394082678,"Random"
"25","1983_summer",-2.28661902166604,0.0222180699864448,0.82407597993801,0.409896387405805,1.58823529411765,0.0212264863029089,"Quasi-nested (clumped)"
"26","1983_fall",1.22040454866594,0.222311553875222,-2.74598670158092,0.00603292090007219,2.58088235294118,5.45079887911415e-05,"Random"
"27","1983_winter",3.10504515669704,0.00190249977016183,-2.56105305137468,0.0104355419468804,1.80147058823529,0.00447228096772989,"Checkerboard (negative coherence)"
"28","1984_spring",1.5996781472226,0.109670002142788,-1.32175773342544,0.186248836946512,1.87912087912088,0.0127282647200835,"Random"
"29","1984_summer",1.90078754704627,0.0573298458460407,0.379504490135924,0.7043132705846,1.71428571428571,0.0212264863029089,"Random"
"30","1984_fall",1.6438196555985,0.100213460024864,0.034834474974599,0.972211730250384,1.32679738562091,0.0726507482264979,"Random"
"31","1984_winter",0.430083532966282,0.66713487813044,-0.130197242870158,0.896410375884995,1.1047619047619,0.245890498812837,"Random"
"32","1985_spring",1.3780200814351,0.168197088147053,-0.404603927577497,0.685768671079962,1.38461538461538,0.0883764323567855,"Random"
"33","1985_summer",0.226274267259989,0.820988111145264,-0.300102657999714,0.764098851807515,1.53846153846154,0.0616303000334399,"Random"
"34","1985_fall",0.46942048452754,0.638769109139153,0.718163218811717,0.472656653864621,2.61038961038961,1.46489648611414e-06,"Random"
"35","1985_winter",0.342306145602428,0.732120511112424,-0.503530451588753,0.614591376221002,1.15032679738562,0.215189236127856,"Random"
"36","1986_spring",-0.020512142319801,0.983634825944414,-0.387110380178633,0.698674493297543,2.41176470588235,9.31416129426044e-05,"Random"
"37","1986_summer",-0.382973974564153,0.701739060958407,0.254366568669373,0.799212376059931,1.35294117647059,0.0817654162447217,"Random"
"38","1986_fall",1.72705336259588,0.0841580803123752,-1.02265462510362,0.306471172316941,1.83006535947712,0.00595154176731871,"Random"
"39","1986_winter",1.40878086628163,0.158899974552525,0.372215566167141,0.709732357293787,2.55,3.25232919243801e-05,"Random"
"40","1987_spring",2.55566718923497,0.010598443292169,0.132554074424468,0.894546055105754,1.15384615384615,0.238103305553544,"Checkerboard (negative coherence)"
"41","1987_summer",0.398401124792714,0.690334528930081,-0.2857455889298,0.775072984869041,1.38970588235294,0.0758349831436526,"Random"
"42","1987_fall",-1.20738919693178,0.227282293983668,-0.715704418793092,0.474173881747144,2.33333333333333,0.000648041177234049,"Random"
"43","1987_winter",-0.24196993728447,0.808803457699802,-1.16423797271519,0.244327585551177,2.21052631578947,0.000230275167176996,"Random"
