"","season_yr","coherence_z","coherence_pvalue","turnover_z","turnover_pvalue","boundary_index","boundary_P","pattern"
"1","1977_summer",0.49903723805419,0.617753150738025,0.0133249942245383,0.989368507449663,1.6723044397463,4.48783895790061e-06,"Random"
"2","1977_fall",-0.0418857306322633,0.966589791721348,2.02656318717828,0.0427071045466489,2.26720647773279,1.38983846653673e-09,"Random"
"3","1977_winter",1.14172123948477,0.253569909379543,0.599482343817526,0.548851280618065,1.46153846153846,0.0613390006235924,"Random"
"4","1978_spring",2.02820149189042,0.0425396877160986,1.07118905150976,0.284084433455345,1.38620689655172,0.0138258733522969,"Checkerboard (negative coherence)"
"5","1978_summer",1.96289780244722,0.0496580501847451,-1.16433155199599,0.244289674671124,1.42795698924731,0.00592880787096417,"Checkerboard (negative coherence)"
"6","1978_fall",0.791517973746886,0.42864179186233,0.49654769128345,0.619508048251424,2.09625668449198,3.08385558644986e-07,"Random"
"7","1978_winter",1.46085107816875,0.144056314788408,1.27206869849022,0.203348711532217,1.27272727272727,0.0224873507564449,"Random"
"8","1979_spring",0.921909791028495,0.356575631604154,0.254155840972282,0.799375164432653,1.66666666666667,0.00052225805003292,"Random"
"9","1979_summer",0.857115478728373,0.391381067533289,0.33502629674424,0.73760524945561,1.22769230769231,0.0691957571164517,"Random"
"10","1979_fall",1.04447445246929,0.296265933052117,-1.79398620194331,0.0728153711952312,1.70689655172414,0.000515230311849968,"Random"
"11","1979_winter",0.476696439889828,0.633578298349196,0.757709434703608,0.448624949638563,1.73504273504273,0.000325651596493559,"Random"
"12","1980_spring",1.19934291488286,0.230394634595185,0.971770362551149,0.331164803240016,1.73333333333333,8.62410392310498e-06,"Random"
"13","1980_summer",-1.31920614993292,0.18710020283963,0.753261487976398,0.451292796511474,2.00142247510669,1.13879407126483e-07,"Random"
"14","1980_fall",-0.980841689593302,0.326670816050882,1.0798884230051,0.280191869187807,1.29100529100529,0.0378748525982021,"Random"
"15","1980_winter",1.26804008563938,0.204783635829728,-0.581995163968721,0.560569938318039,1.78666666666667,0.000529146680407155,"Random"
"16","1981_spring",0.0725257119115589,0.942183544197978,0.24415619096928,0.807109854947101,1.83025210084034,1.59464307887269e-05,"Random"
"17","1981_summer",1.55762715101873,0.119321658605978,-1.19350767604915,0.232670607728299,1.11904761904762,0.189850590438318,"Random"
"18","1981_fall",-0.155566829314023,0.876374472925964,0.514300743727103,0.607041741814668,1.83072546230441,5.49988534459533e-06,"Random"
"19","1981_winter",1.80824065689684,0.0705690534033134,-2.86271508273653,0.00420028074827571,1.26984126984127,0.0463268244786451,"Random"
"20","1982_spring",0.384347201188042,0.700721128032728,-1.16912909477846,0.242351623268666,1.73913043478261,0.00340472809739978,"Random"
"21","1982_summer",1.57231091293694,0.115878463389767,-0.889578528562814,0.373692239631459,2.52100840336134,9.76302372279747e-10,"Random"
"22","1982_fall",2.18849415475442,0.0286336265794958,-1.78051892032542,0.0749910757177877,1.4,0.0288171732612585,"Checkerboard (negative coherence)"
"23","1982_winter",0.673058059626299,0.500910354609951,-1.03828297965766,0.299138330301242,2.43478260869565,2.36542527609629e-06,"Random"
"24","1983_spring",1.91327283078582,0.0557131340154078,-3.59984603908059,0.000318405650507677,2.72727272727273,3.92465770104877e-07,"Random"
"25","1983_summer",3.86155248876397,0.000112668799778207,-2.9207066780277,0.00349238465735516,1.17948717948718,0.123844849707503,"Checkerboard (negative coherence)"
"26","1983_fall",3.66098292139604,0.000251249508213888,-4.21803921268421,2.46435969459686e-05,1.64516129032258,0.000613828642591296,"Checkerboard (negative coherence)"
"27","1983_winter",3.81215048613763,0.000137762955663055,-5.65394365271406,1.56807635770481e-08,1.92688172043011,1.21611190474491e-05,"Checkerboard (negative coherence)"
"28","1984_spring",-0.228561840453013,0.819209486366342,0.668936449232461,0.503536017936049,2.48571428571429,8.50056440793168e-06,"Random"
"29","1984_summer",1.02429228436062,0.305697241167551,0.156797430554107,0.875404497925011,2.21538461538462,9.81882108597176e-06,"Random"
"30","1984_fall",1.81611459376175,0.0693527955044166,-0.0333108259795184,0.973426720668615,1.62032085561497,0.000392564624693392,"Random"
"31","1984_winter",0.963946656644431,0.335072670557746,-0.39832588657523,0.690389981120683,1.7972972972973,1.30519762839842e-05,"Random"
"32","1985_spring",3.80950696344377,0.000139244185124806,-0.317702480684482,0.750710629326774,1.57575757575758,0.000637956517248739,"Checkerboard (negative coherence)"
"33","1985_summer",1.98645069443832,0.0469833024228713,-1.32648142943003,0.184680282344368,1.96011396011396,4.12630717796514e-05,"Checkerboard (negative coherence)"
"34","1985_fall",-1.54034687711148,0.123475822949028,0.61328003081982,0.539691194967455,6.44210526315789,0,"Random"
"35","1985_winter",3.24234989313091,0.0011854837955845,-0.224709692544114,0.822205123875222,1.5114709851552,0.000420856255678448,"Checkerboard (negative coherence)"
"36","1986_spring",0.747701077698415,0.454640480979504,-0.776539509616874,0.437430501978204,2.20645161290323,5.22999423990811e-07,"Random"
"37","1986_summer",0.0328565969160538,0.973788944735146,0.771989800920714,0.440120468187154,2.20609756097561,2.52854404081404e-09,"Random"
"38","1986_fall",2.66686073117998,0.00765633916653921,-0.282456328588705,0.777593628491678,1.48387096774194,0.00513555163857315,"Checkerboard (negative coherence)"
"39","1986_winter",1.48100722631878,0.13860464786129,-2.18163912350623,0.0291361770528926,1.07333333333333,0.256218918194544,"Random"
"40","1987_spring",1.72155441279355,0.0851502673077094,-1.38386036662468,0.166401214500535,2.2483660130719,0.000200407508232026,"Random"
